neighborhood_id,neighborhood_display,country
alentejo-comporta,"Comporta, Alentejo",Portugal
lisbon-alfama,"Alfama, Lisbon",Portugal
lisbon-cascais,"Cascais, Lisbon",Portugal
lisbon-chiado,"Chiado, Lisbon",Portugal
lisbon-principe-real,"Príncipe Real, Lisbon",Portugal
riyadh-al-olaya,"Al Olaya, Riyadh",Saudi Arabia
singapore-marina-bay,"Marina Bay, Singapore",Singapore
singapore-nassim,"Nassim Hill, Singapore",Singapore
singapore-orchard,"Orchard Road, Singapore",Singapore
singapore-sentosa,"Sentosa Cove, Singapore",Singapore
singapore-tanglin,"Tanglin, Singapore",Singapore
singapore-tiong-bahru,"Tiong Bahru, Singapore",Singapore
capetown-camps-bay,"Camps Bay, Cape Town",South Africa
capetown-clifton,"Clifton, Cape Town",South Africa
capetown-atlantic-seaboard,"Clifton / Camps Bay, Cape Town",South Africa
capetown-constantia,"Constantia, Cape Town",South Africa
capetown-waterfront,"V&A Waterfront, Cape Town",South Africa
joburg-sandton,"Sandton, Johannesburg",South Africa
seoul-gangnam,"Gangnam, Seoul",South Korea
seoul-hannam-dong,"Hannam-dong, Seoul",South Korea
seoul-seongsu-dong,"Seongsu-dong, Seoul",South Korea
andalusia-sotogrande,"Sotogrande, Andalusia",Spain
barcelona-barceloneta,"Barceloneta, Barcelona",Spain
barcelona-eixample,"Eixample, Barcelona",Spain
barcelona-el-born,"El Born, Barcelona",Spain
barcelona-gracia,"Gràcia, Barcelona",Spain
barcelona-pedralbes,"Pedralbes, Barcelona",Spain
marbella-golden-mile,"Marbella (Golden Mile), Costa del Sol",Spain
europe-marbella,"Marbella Municipality, Costa del Sol",Spain
ibiza-town,"Ibiza Town, Ibiza",Spain
madrid-chamberi,"Chamberí, Madrid",Spain
madrid-justicia,"Justicia, Madrid",Spain
madrid-salamanca,"Salamanca, Madrid",Spain
utrera-utrera,"Utrera, Seville",Spain
stockholm-kungsholmen,"Kungsholmen, Stockholm",Sweden
stockholm-sodermalm,"Södermalm, Stockholm",Sweden
stockholm-vasastan,"Vasastan, Stockholm",Sweden
swissalps-gstaad,"Gstaad Swiss Alps, Alps",Switzerland
swissalps-st-moritz,"St. Moritz Swiss Alps, Alps",Switzerland
alps-zermatt,"Zermatt Swiss Alps, Alps",Switzerland
geneva-cologny,"Cologny, Geneva",Switzerland
geneva-eaux-vives,"Eaux-Vives, Geneva",Switzerland
zurich-seefeld,"Seefeld, Zurich",Switzerland
zurich-zurichberg,"Zürichberg, Zurich",Switzerland
bangkok-sathorn,"Sathorn, Bangkok",Thailand
bangkok-thong-lo,"Thong Lo, Bangkok",Thailand
dubai-al-barari,"Al Barari, Dubai",UAE
dubai-difc,"DIFC, Dubai",UAE
dubai-downtown,"Downtown Dubai, Dubai",UAE
dubai-marina,"Dubai Marina, Dubai",UAE
dubai-jumeirah,"Jumeirah, Dubai",UAE
dubai-palm-jumeirah,"Palm Jumeirah, Dubai",UAE
london-belgravia,"Belgravia, London",UK
london-chelsea,"Chelsea, London",UK
london-clerkenwell,"Clerkenwell, London",UK
london-hampstead,"Hampstead, London",UK
london-holland-park,"Holland Park, London",UK
london-kensington,"Kensington, London",UK
london-knightsbridge,"Knightsbridge, London",UK
london-marylebone,"Marylebone, London",UK
london-mayfair,"Mayfair, London",UK
london-notting-hill,"Notting Hill, London",UK
london-primrose-hill,"Primrose Hill, London",UK
london-shoreditch,"Shoreditch, London",UK
london-soho,"Soho, London",UK
london-st-johns-wood,"St John's Wood, London",UK
boston-charlestown,"Charlestown, Boston",United States
new-york-city-east-village,"East Village, New York City",United States
atlanta-buckhead,"Buckhead, Atlanta",USA
austin-downtown,"Downtown Austin, Austin",USA
austin-south-congress,"South Congress, Austin",USA
boston-back-bay,"Back Bay, Boston",USA
boston-beacon-hill,"Beacon Hill, Boston",USA
boston-seaport,"Seaport, Boston",USA
ca-atherton,"Atherton, California",USA
ca-palo-alto,"Palo Alto, California",USA
chicago-fulton-market,"Fulton Market, Chicago",USA
chicago-gold-coast,"Gold Coast, Chicago",USA
chicago-lincoln-park,"Lincoln Park, Chicago",USA
chicago-river-north,"River North, Chicago",USA
chicago-wicker-park,"Wicker Park, Chicago",USA
co-aspen,"Aspen, Colorado",USA
co-vail,"Vail, Colorado",USA
ct-greenwich,"Greenwich, Connecticut",USA
dallas-highland-park,"Highland Park, Dallas",USA
denver-cherry-creek,"Cherry Creek, Denver",USA
palm-beach-island,"Palm Beach, Florida",USA
houston-river-oaks,"River Oaks, Houston",USA
la-bel-air,"Bel Air, Los Angeles",USA
la-beverly-hills,"Beverly Hills, Los Angeles",USA
la-malibu,"Malibu, Los Angeles",USA
la-santa-monica,"Santa Monica, Los Angeles",USA
la-silver-lake,"Silver Lake, Los Angeles",USA
la-venice,"Venice Beach, Los Angeles",USA
la-west-hollywood,"West Hollywood, Los Angeles",USA
us-marthas-vineyard,"Martha's Vineyard, Martha's Vineyard",USA
miami-brickell,"Brickell, Miami",USA
miami-coconut-grove,"Coconut Grove, Miami",USA
miami-coral-gables,"Coral Gables, Miami",USA
miami-design-district,"Design District, Miami",USA
miami-south-beach,"South Beach, Miami",USA
miami-wynwood,"Wynwood, Miami",USA
us-nantucket,"Nantucket, Nantucket",USA
nyc-brooklyn-heights,"Brooklyn Heights, New York",USA
nyc-chelsea,"Chelsea, New York",USA
nyc-greenwich-village,"Greenwich Village, New York",USA
nyc-hudson-yards,"Hudson Yards, New York",USA
nyc-meatpacking,"Meatpacking District, New York",USA
nyc-upper-east-side,"Upper East Side, New York",USA
nyc-upper-west-side,"Upper West Side, New York",USA
nyc-west-village,"West Village, New York",USA
nyc-williamsburg,"Williamsburg, New York",USA
greenwich-backcountry,"Greenwich Backcountry, New York Surroundings",USA
philly-rittenhouse,"Rittenhouse Square, Philadelphia",USA
sf-hayes-valley,"Hayes Valley, San Francisco",USA
sf-marina,"Marina District, San Francisco",USA
sf-noe-valley,"Noe Valley, San Francisco",USA
sf-pacific-heights,"Pacific Heights, San Francisco",USA
sf-russian-hill,"Russian Hill, San Francisco",USA
sf-mission,"The Mission, San Francisco",USA
santabarbara-montecito,"Montecito, Santa Barbara",USA
seattle-south-lake-union,"South Lake Union, Seattle",USA
hamptons-amagansett,"Amagansett, The Hamptons",USA
hamptons-bridgehampton,"Bridgehampton, The Hamptons",USA
hamptons-east-hampton,"East Hampton, The Hamptons",USA
hamptons-montauk,"Montauk, The Hamptons",USA
hamptons-sagaponack,"Sagaponack, The Hamptons",USA
hamptons-southampton,"Southampton, The Hamptons",USA
dc-adams-morgan,"Adams Morgan, Washington DC",USA
dc-capitol-hill,"Capitol Hill, Washington DC",USA
dc-cleveland-park,"Cleveland Park, Washington DC",USA
dc-dupont-circle,"Dupont Circle, Washington DC",USA
dc-georgetown,"Georgetown, Washington DC",USA
dc-kalorama,"Kalorama, Washington DC",USA
wy-jackson-hole,"Jackson Hole, Wyoming",USA
